Holder,Shares,Date Reported,% Out,Value,ABV
Morgan Stanley,1265876,2021-09-29,0.047599999999999996,20266674,ETB
"Guggenheim Capital, LLC",729407,2021-09-29,0.0274,11677806,ETB
Wells Fargo & Company,631967,2021-09-29,0.023700000000000002,10117791,ETB
UBS Group AG,518072,2021-09-29,0.0195,8294332,ETB
"Raymond James Financial Services Advisors, Inc.",474560,2021-09-29,0.0178,7597705,ETB
Invesco Ltd.,260267,2021-09-29,0.0098,4166874,ETB
Cetera Advisors LLC,183868,2021-09-29,0.0069,2943726,ETB
"Advisor Group, Inc.",178874,2021-09-29,0.0067,2863772,ETB
Royal Bank of Canada,94132,2021-09-29,0.0034999999999999996,1507053,ETB
"Raymond James & Associates, Inc.",73149,2021-09-29,0.0027,1171115,ETB
